segment_key,row_count,bias_pct,wape,eligibility_before,eligibility_after,eligibility_status,eligibility_blocker_before,eligibility_blocker_after,ats_support_flag,feature_merge_support_flag,human_review_support_flag,safe_for_human_approval_review_flag,deployment_status
FRAGRANCE,54,-35.5769,0.674231,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
GIFTING,11,22.2,0.356,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
HAIR ACC BRUSHES,17,-20.9667,0.410185,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
HAIR REMOVAL,13,-18.1154,0.587308,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
HAIRCARE,147,-44.0959,0.629897,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
INCONTINENCE,6,-78.0226,0.787,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
INSOMNIA,1,131.9,1.319,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
MENS GROOMING,18,10.82,0.575,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
NUTRITION WELLBEIN,6,-2.9667,0.421667,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
ORAL HEALTH,36,-41.3051,0.580077,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
PAPER COTTON,1,-66.6667,0.666667,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
SKINCARE,262,-58.8373,0.689623,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
SMOKING CESSATION,3,10.5,,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
SUNCARE,32,-51.1827,0.716867,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
TANNING,24,-58.3468,0.620489,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
VITAMIN SUPPLEMENT,82,-40.1833,0.590929,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
NO,82,-15.8879,0.433236,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
UNKNOWN,1497,-48.1377,0.660109,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
YES,18,-48.798,0.56798,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
NO,1597,-45.0295,0.634888,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
HIGH,5,-12.5333,0.483556,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
LOW,36,-23.0299,0.457313,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
MEDIUM,59,-26.3895,0.474211,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
UNKNOWN,1497,-48.1377,0.660109,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
